date,open,high,low,close,volume,hold,settle,contract_id
2019-03-14,8718.0,8718.0,8718.0,8718.0,0,0,8690.0,SM201903
2019-03-27,7770.0,7770.0,7770.0,7770.0,0,0,7570.0,SM201904
2019-04-04,7588.0,7588.0,7588.0,7588.0,0,0,7544.0,SM201904
2018-05-18,7302.0,7302.0,7122.0,7192.0,10,54,7254.0,SM201905
2018-05-21,7166.0,7210.0,7136.0,7210.0,12,52,7164.0,SM201905
2018-05-22,7226.0,7226.0,7136.0,7164.0,12,52,7164.0,SM201905
2018-05-23,7234.0,7234.0,7080.0,7080.0,16,58,7158.0,SM201905
2018-05-24,7108.0,7234.0,7040.0,7094.0,34,72,7084.0,SM201905
2018-05-25,7100.0,7136.0,7040.0,7094.0,98,156,7052.0,SM201905
2018-05-28,7078.0,7110.0,7042.0,7094.0,98,146,7052.0,SM201905
2018-05-29,7136.0,7192.0,7060.0,7102.0,76,144,7108.0,SM201905
2018-05-30,7088.0,7192.0,7060.0,7108.0,76,144,7108.0,SM201905
2018-05-31,7130.0,7196.0,7110.0,7126.0,74,150,7136.0,SM201905
2018-06-01,7292.0,7498.0,6706.0,7170.0,468,266,7150.0,SM201905
2018-06-04,7186.0,7196.0,7134.0,7134.0,16,264,7168.0,SM201905
2018-06-05,7150.0,7196.0,7098.0,7142.0,82,214,7116.0,SM201905
2018-06-06,7150.0,7170.0,7098.0,7116.0,82,214,7116.0,SM201905
2018-06-07,7236.0,7288.0,7110.0,7110.0,28,202,7164.0,SM201905
2018-06-08,7160.0,7288.0,7110.0,7210.0,82,200,7194.0,SM201905
2018-06-11,7224.0,7322.0,7160.0,7210.0,82,202,7278.0,SM201905
2018-06-12,7268.0,7322.0,7204.0,7244.0,40,198,7244.0,SM201905
2018-06-13,7200.0,7258.0,7150.0,7222.0,44,192,7208.0,SM201905
2018-06-14,7232.0,7298.0,7150.0,7208.0,44,192,7208.0,SM201905
2018-06-15,7232.0,7298.0,7218.0,7242.0,32,190,7242.0,SM201905
2018-06-19,7320.0,7320.0,7102.0,7122.0,52,186,7176.0,SM201905
2018-06-20,7128.0,7320.0,7102.0,7176.0,52,186,7176.0,SM201905
2018-06-21,7228.0,7304.0,7128.0,7270.0,52,198,7282.0,SM201905
2018-06-22,7300.0,7304.0,7208.0,7282.0,52,198,7282.0,SM201905
2018-06-25,7292.0,7346.0,7234.0,7316.0,26,206,7288.0,SM201905
2018-06-26,7292.0,7392.0,7200.0,7272.0,104,218,7268.0,SM201905
2018-06-27,7304.0,7318.0,7258.0,7258.0,42,224,7282.0,SM201905
2018-06-28,7252.0,7404.0,7252.0,7390.0,48,236,7342.0,SM201905
2018-06-29,7402.0,7452.0,7368.0,7436.0,42,224,7408.0,SM201905
2018-07-02,7362.0,7452.0,7362.0,7436.0,42,224,7408.0,SM201905
2018-07-03,7354.0,7400.0,7338.0,7344.0,12,222,7344.0,SM201905
2018-07-04,7340.0,7340.0,7254.0,7260.0,10,220,7292.0,SM201905
