date,open,high,low,close,total_volume,total_hold
2018-05-18,7302.0,7302.0,7122.0,7192.0,10,54
2018-05-21,7166.0,7210.0,7136.0,7210.0,12,52
2018-05-22,7226.0,7226.0,7136.0,7164.0,12,52
2018-05-23,7234.0,7234.0,7080.0,7080.0,16,58
2018-05-24,7108.0,7234.0,7040.0,7094.0,34,72
2018-05-25,7100.0,7136.0,7040.0,7094.0,98,156
2018-05-28,7078.0,7110.0,7042.0,7094.0,98,146
2018-05-29,7136.0,7192.0,7060.0,7102.0,76,144
2018-05-30,7088.0,7192.0,7060.0,7108.0,76,144
2018-05-31,7130.0,7196.0,7110.0,7126.0,74,150
2018-06-01,7292.0,7498.0,6706.0,7170.0,468,266
2018-06-04,7186.0,7196.0,7134.0,7134.0,16,264
2018-06-05,7150.0,7196.0,7098.0,7142.0,82,214
2018-06-06,7150.0,7170.0,7098.0,7116.0,82,214
2018-06-07,7236.0,7288.0,7110.0,7110.0,28,202
2018-06-08,7160.0,7288.0,7110.0,7210.0,82,200
2018-06-11,7224.0,7322.0,7160.0,7210.0,82,202
2018-06-12,7268.0,7322.0,7204.0,7244.0,40,198
2018-06-13,7200.0,7258.0,7150.0,7222.0,44,192
2018-06-14,7232.0,7298.0,7150.0,7208.0,44,192
2018-06-15,7232.0,7298.0,7218.0,7242.0,32,190
2018-06-19,7320.0,7320.0,7102.0,7122.0,52,186
2018-06-20,7128.0,7320.0,7102.0,7176.0,52,186
2018-06-21,7228.0,7304.0,7128.0,7270.0,52,198
2018-06-22,7300.0,7304.0,7208.0,7282.0,52,198
2018-06-25,7292.0,7346.0,7234.0,7316.0,26,206
2018-06-26,7292.0,7392.0,7200.0,7272.0,104,218
2018-06-27,7304.0,7318.0,7258.0,7258.0,42,224
2018-06-28,7252.0,7404.0,7252.0,7390.0,48,236
2018-06-29,7402.0,7452.0,7368.0,7436.0,42,224
2018-07-02,7362.0,7452.0,7362.0,7436.0,42,224
2018-07-03,7354.0,7400.0,7338.0,7344.0,12,222
2018-07-04,7340.0,7340.0,7254.0,7260.0,10,220
2018-07-05,7222.0,7340.0,7222.0,7278.0,22,216
2018-07-06,7260.0,7324.0,7222.0,7260.0,22,216
2018-07-09,7290.0,7290.0,7290.0,7290.0,2,218
2018-07-10,7328.0,7328.0,7290.0,7294.0,22,216
2018-07-11,7254.0,7328.0,7254.0,7258.0,22,210
2018-07-12,7260.0,7400.0,7260.0,7400.0,40,206
2018-07-13,7260.0,7400.0,7260.0,7342.0,40,206
2018-07-17,7268.0,7324.0,7268.0,7314.0,54,224
2018-07-18,7358.0,7358.0,7268.0,7306.0,54,224
2018-07-19,7352.0,7370.0,7314.0,7314.0,52,232
2018-07-20,7398.0,7414.0,7314.0,7390.0,52,236
2018-07-23,7398.0,7414.0,7370.0,7394.0,42,236
2018-07-24,7394.0,7492.0,7370.0,7486.0,40,234
2018-07-25,7538.0,7546.0,7508.0,7520.0,34,236
2018-07-26,7528.0,7566.0,7528.0,7566.0,52,236
2018-07-27,7592.0,7602.0,7518.0,7536.0,194,330
2018-07-30,7570.0,7632.0,7570.0,7610.0,42,324
2018-07-31,7670.0,7670.0,7570.0,7650.0,42,334
2018-08-01,7646.0,7670.0,7600.0,7602.0,54,330
2018-08-02,7554.0,7624.0,7530.0,7598.0,88,340
2018-08-03,7584.0,7700.0,7584.0,7696.0,92,370
2018-08-06,7720.0,8000.0,7712.0,7904.0,278,436
2018-08-07,7940.0,7940.0,7802.0,7838.0,94,472
2018-08-08,7820.0,8020.0,7816.0,7980.0,442,620
2018-08-09,7980.0,8028.0,7928.0,7934.0,128,618
2018-08-10,7996.0,8226.0,7982.0,8084.0,424,710
2018-08-13,8118.0,8180.0,8000.0,8144.0,220,728
2018-08-14,8170.0,8242.0,8106.0,8140.0,294,808
2018-08-15,8180.0,8276.0,8160.0,8244.0,446,980
2018-08-16,8100.0,8382.0,8098.0,8350.0,1210,1554
2018-08-17,8396.0,8600.0,8380.0,8496.0,1728,2230
2018-08-20,8523.66,8584.32,8305.85,8510.39,1292,2304
2018-08-21,8509.67,8510.39,8249.9,8338.12,1550,2294
2018-08-22,8427.77,8566.3,8427.77,8462.1,896,2548
2018-08-23,8517.94,8570.26,8439.79,8459.98,1866,2930
2018-08-24,8459.98,8489.96,8338.06,8421.93,1336,3112
2018-08-27,8428.0,8469.97,8340.05,8357.97,816,3198
2018-08-28,8386.02,8441.99,8252.09,8429.9,1544,3826
2018-08-29,8435.99,8495.97,8390.01,8411.97,2314,4680
2018-08-30,8400.01,8400.01,8216.1,8279.97,1142,4364
2018-08-31,8280.07,8308.06,8112.15,8149.98,1144,4192
2018-09-03,8150.0,8216.0,8120.0,8140.0,742,4294
2018-09-04,8140.0,8140.0,8056.0,8056.0,678,4194
2018-09-05,8094.0,8148.0,8050.0,8066.0,1424,4352
2018-09-06,8104.0,8104.0,7972.0,7974.0,924,4574
2018-09-07,8036.0,8058.0,7958.0,7980.0,1158,4552
2018-09-10,8014.0,8054.0,8000.0,8036.0,402,4470
2018-09-11,7994.0,7994.0,7930.0,7932.0,1136,4080
2018-09-12,7914.0,8000.0,7860.0,7952.0,1078,3970
2018-09-13,7990.0,8002.0,7938.0,7972.0,418,3926
2018-09-14,7972.0,8024.0,7950.0,7998.0,440,3906
2018-09-17,8028.0,8028.0,7918.0,7950.0,690,3788
2018-09-18,7968.0,8098.0,7968.0,8080.0,786,3808
2018-09-19,8118.07,8118.7,8022.22,8022.66,974,3902
2018-09-20,8062.3,8062.55,8004.61,8014.82,448,3926
2018-09-21,8040.45,8177.76,8039.97,8173.8,1164,4282
2018-09-25,8149.09,8150.04,8026.11,8086.57,1332,4624
2018-09-26,8088.58,8096.67,8018.9,8088.71,2130,5126
2018-09-27,8094.49,8094.63,8024.83,8028.89,1528,4936
2018-09-28,7863.45,8066.83,7861.42,8034.98,1808,4662
2018-10-08,8046.8,8086.59,7948.89,8016.59,2826,4898
2018-10-09,8074.61,8074.61,8016.55,8054.68,1550,4756
2018-10-10,8059.26,8148.73,8038.31,8071.19,1836,4428
2018-10-11,8002.78,8118.77,7962.97,8057.05,2124,4852
2018-10-12,8070.77,8188.65,8050.71,8178.19,2430,5228
2018-10-15,8184.52,8226.6,8154.66,8216.46,2182,5480
2018-10-16,8169.23,8292.64,8160.73,8234.92,3536,5898
2018-10-17,8250.45,8304.45,8200.63,8240.76,2040,5782
2018-10-18,8201.0,8302.51,8180.74,8258.72,1772,5812
2018-10-19,8263.44,8287.9,8227.71,8247.92,1348,5952
2018-10-22,8264.95,8377.27,8219.3,8301.62,1892,6324
2018-10-23,8307.5,8307.96,8235.39,8259.84,2566,6838
2018-10-24,8341.05,8341.37,8233.67,8323.34,1450,7084
2018-10-25,8303.46,8371.25,8255.59,8371.12,2168,6730
2018-10-26,8396.9,8447.32,8023.2,8376.93,4440,7526
2018-10-29,8391.0,8391.36,8299.07,8321.48,2614,7728
2018-10-30,8312.56,8346.25,8268.29,8310.22,2106,7620
2018-10-31,8266.35,8310.64,8240.58,8258.42,1886,7742
2018-11-01,8247.29,8283.12,8185.24,8185.46,2184,8092
2018-11-02,8178.25,8202.91,8024.73,8124.73,4484,8440
2018-11-05,8143.23,8175.85,8063.41,8080.5,3144,8478
2018-11-06,8086.01,8213.59,8056.2,8127.87,3640,8426
2018-11-07,8075.01,8093.99,8018.13,8062.36,5488,10042
2018-11-08,8009.74,8524.91,7975.37,8081.98,9754,9936
2018-11-09,8091.36,8113.65,8017.87,8028.44,3292,10170
2018-11-12,7971.66,7994.79,7729.18,7729.18,10578,14334
2018-11-13,7698.98,7746.78,7579.68,7658.8,13848,16252
